Address,Location,Type,,Tags
10.224.6.15,dg-core-prd,IP Netmask,,PCI
10.224.6.4-10.224.6.15,dg-core-prd,IP Range,,PCI
10.224.6.5-10.224.6.15,dg-core-prd,IP Range,,PCI
10.224.6.6,dg-core-prd,IP Netmask,,PCI
10.224.6.6-10.224.6.11,dg-core-prd,IP Range,,PCI
10.224.6.6-10.224.6.9,dg-core-prd,IP Range,,PCI
10.224.6.7,dg-core-prd,IP Netmask,,PCI
10.224.6.7-10.224.6.8,dg-core-prd,IP Range,,PCI
10.224.6.8,dg-core-prd,IP Netmask,,PCI
10.224.6.9,dg-core-prd,IP Netmask,,PCI
10.100.5.61,dg-core-prd,IP Netmask,,PCI
10.100.5.21,dg-core-prd,IP Netmask,,PCI
10.224.9.0/24,dg-core-prd,IP Netmask,,PCI
10.224.9.10,dg-core-prd,IP Netmask,,PCI
10.224.9.100,dg-core-prd,IP Netmask,,PCI
10.224.9.11,dg-core-prd,IP Netmask,,PCI
10.224.9.12,dg-core-prd,IP Netmask,,PCI
10.224.9.14,dg-core-prd,IP Netmask,,PCI
10.224.9.14-10.224.9.19,dg-core-prd,IP Range,,PCI
10.224.9.15,dg-core-prd,IP Netmask,,PCI
10.224.9.16,dg-core-prd,IP Netmask,,PCI
10.224.9.17,dg-core-prd,IP Netmask,,PCI
10.224.9.18,dg-core-prd,IP Netmask,,PCI
10.224.9.19,dg-core-prd,IP Netmask,,PCI
10.224.9.20,dg-core-prd,IP Netmask,,PCI
10.224.9.30/32,dg-core-prd,IP Netmask,,PCI
10.224.9.31/32,dg-core-prd,IP Netmask,,PCI
10.224.9.32/32,dg-core-prd,IP Netmask,,PCI
10.224.9.33/32,dg-core-prd,IP Netmask,,PCI
10.224.9.4/32,dg-core-prd,IP Netmask,,PCI
10.224.9.5/32,dg-core-prd,IP Netmask,,PCI
10.224.9.8,dg-core-prd,IP Netmask,,PCI
10.224.9.9,dg-core-prd,IP Netmask,,PCI
10.224.9.9-10.224.9.12,dg-core-prd,IP Range,,PCI
10.224.13.0/24,dg-core-prd,IP Netmask,,PCI
10.224.13.5,dg-core-prd,IP Netmask,,PCI
10.232.0.0/24,dg-core-prd,IP Netmask,,
10.232.0.0/25,dg-core-prd,IP Netmask,,
10.232.0.4,dg-core-prd,IP Netmask,,
10.232.0.5,dg-core-prd,IP Netmask,,
10.232.0.6,dg-core-prd,IP Netmask,,
10.232.0.128/25,dg-core-prd,IP Netmask,,
10.232.0.128/26,dg-core-prd,IP Netmask,,
10.232.0.132,dg-core-prd,IP Netmask,,
10.232.0.133,dg-core-prd,IP Netmask,,
10.232.0.134,dg-core-prd,IP Netmask,,
10.232.0.135,dg-core-prd,IP Netmask,,
10.232.0.136,dg-core-prd,IP Netmask,,
